'2022/8/11/9:18:0',1.250,0.124,0.155,50.0
'2022/8/11/9:18:2',1.251,0.124,0.155,50.0
'2022/8/11/9:18:3',1.249,0.125,0.156,100.0
'2022/8/11/9:18:4',1.250,0.124,0.155,150.0
'2022/8/11/9:18:5',1.249,0.126,0.157,200.0
'2022/8/11/9:18:6',1.249,0.125,0.156,150.0
'2022/8/11/9:18:7',1.248,0.125,0.156,100.0
'2022/8/11/9:18:8',1.250,0.126,0.158,50.0
'2022/8/11/9:18:9',1.248,0.125,0.156,0.0
'2022/8/11/9:18:10',1.249,0.124,0.155,50.0
'2022/8/11/9:18:11',1.249,0.125,0.156,50.0
'2022/8/11/9:18:12',1.249,0.125,0.156,50.0
'2022/8/11/9:18:13',1.250,0.124,0.155,100.0
'2022/8/11/9:18:14',1.249,0.125,0.156,150.0
'2022/8/11/9:18:15',1.250,0.125,0.156,100.0
'2022/8/11/9:18:16',1.249,0.125,0.156,50.0
'2022/8/11/9:18:17',1.249,0.126,0.157,50.0
'2022/8/11/9:18:18',1.249,0.125,0.156,50.0
'2022/8/11/9:18:20',1.249,0.125,0.156,50.0
'2022/8/11/9:18:21',1.249,0.125,0.156,50.0
'2022/8/11/9:18:22',1.249,0.125,0.156,50.0
'2022/8/11/9:18:23',1.249,0.125,0.156,50.0
'2022/8/11/9:18:24',1.248,0.126,0.157,100.0
'2022/8/11/9:18:25',1.249,0.124,0.155,150.0
'2022/8/11/9:18:26',1.248,0.124,0.155,100.0
'2022/8/11/9:18:27',1.249,0.124,0.155,50.0
'2022/8/11/9:18:28',1.249,0.124,0.155,50.0
'2022/8/11/9:18:29',1.248,0.124,0.155,50.0
'2022/8/11/9:18:30',1.248,0.125,0.156,50.0
'2022/8/11/9:18:31',1.249,0.125,0.156,50.0
'2022/8/11/9:18:32',1.250,0.125,0.156,50.0
'2022/8/11/9:18:33',1.249,0.124,0.155,0.0
'2022/8/11/9:18:34',1.249,0.124,0.155,50.0
'2022/8/11/9:18:35',1.249,0.125,0.156,50.0
'2022/8/11/9:18:36',1.249,0.125,0.156,50.0
'2022/8/11/9:18:37',1.248,0.125,0.156,50.0
'2022/8/11/9:18:38',1.249,0.125,0.156,50.0
'2022/8/11/9:18:39',1.249,0.126,0.157,50.0
'2022/8/11/9:18:40',1.248,0.124,0.155,0.0
'2022/8/11/9:18:41',1.249,0.125,0.156,50.0
'2022/8/11/9:18:42',1.248,0.125,0.156,50.0
'2022/8/11/9:18:43',1.248,0.124,0.155,50.0
'2022/8/11/9:18:44',1.248,0.124,0.155,50.0
'2022/8/11/9:18:45',1.246,0.125,0.156,100.0
'2022/8/11/9:18:46',1.248,0.125,0.156,50.0
'2022/8/11/9:18:47',1.248,0.125,0.156,50.0
'2022/8/11/9:18:49',1.249,0.124,0.155,100.0
'2022/8/11/9:18:50',1.249,0.124,0.155,50.0
'2022/8/11/9:18:51',1.248,0.125,0.156,100.0
'2022/8/11/9:18:52',1.249,0.124,0.155,150.0
'2022/8/11/9:18:53',1.249,0.124,0.155,100.0
'2022/8/11/9:18:54',1.248,0.124,0.155,50.0
'2022/8/11/9:18:55',1.248,0.125,0.156,50.0
'2022/8/11/9:18:56',1.248,0.124,0.155,50.0
'2022/8/11/9:18:57',1.248,0.125,0.156,50.0
'2022/8/11/9:18:58',1.248,0.123,0.154,50.0
'2022/8/11/9:18:59',1.246,0.124,0.155,100.0
'2022/8/11/9:19:0',1.249,0.125,0.156,50.0
'2022/8/11/9:19:1',1.248,0.125,0.156,50.0
'2022/8/11/9:19:2',1.248,0.124,0.155,50.0
'2022/8/11/9:19:3',1.248,0.124,0.155,50.0
'2022/8/11/9:19:4',1.248,0.124,0.155,50.0
'2022/8/11/9:19:5',1.249,0.125,0.156,0.0
'2022/8/11/9:19:6',1.248,0.125,0.156,50.0
'2022/8/11/9:19:7',1.248,0.124,0.155,50.0
'2022/8/11/9:19:8',1.249,0.124,0.155,50.0
'2022/8/11/9:19:9',1.248,0.124,0.155,50.0
'2022/8/11/9:19:10',1.248,0.124,0.155,50.0
'2022/8/11/9:19:11',1.249,0.124,0.155,50.0
'2022/8/11/9:19:13',1.248,0.125,0.156,100.0
'2022/8/11/9:19:14',1.248,0.123,0.154,50.0
'2022/8/11/9:19:15',1.248,0.123,0.154,50.0
'2022/8/11/9:19:16',1.248,0.124,0.155,50.0
'2022/8/11/9:19:17',1.248,0.125,0.156,50.0
'2022/8/11/9:19:18',1.246,0.124,0.155,0.0
'2022/8/11/9:19:19',1.248,0.124,0.155,50.0
'2022/8/11/9:19:20',1.248,0.124,0.155,50.0
'2022/8/11/9:19:21',1.248,0.124,0.155,50.0
'2022/8/11/9:19:22',1.246,0.124,0.155,50.0
'2022/8/11/9:19:23',1.245,0.124,0.154,0.0
'2022/8/11/9:19:24',1.246,0.125,0.156,50.0
'2022/8/11/9:19:25',1.248,0.124,0.155,100.0
'2022/8/11/9:19:26',1.246,0.126,0.157,150.0
'2022/8/11/9:19:27',1.245,0.125,0.156,100.0
'2022/8/11/9:19:28',1.248,0.124,0.155,150.0
'2022/8/11/9:19:29',1.248,0.125,0.156,100.0
'2022/8/11/9:19:30',1.248,0.124,0.155,50.0
'2022/8/11/9:19:31',1.246,0.125,0.156,100.0
'2022/8/11/9:19:32',1.249,0.124,0.155,150.0
'2022/8/11/9:19:33',1.246,0.125,0.156,200.0
'2022/8/11/9:19:34',1.246,0.124,0.155,150.0
'2022/8/11/9:19:35',1.246,0.126,0.157,100.0
'2022/8/11/9:19:36',1.246,0.124,0.155,50.0
'2022/8/11/9:19:37',1.246,0.125,0.156,50.0
'2022/8/11/9:19:39',1.246,0.125,0.156,50.0
'2022/8/11/9:19:40',1.246,0.126,0.157,50.0
